GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,BHI001
GIS Join match code,Datafile year,State Name,State Code,County Name,County Code,Census Tract Prefix Code,Census Tract Code,Census Tract Suffix Code,Area name,Total
G17003100066,1930,Illinois,17,Cook,031,"",0066,"",Tract    0066     in Chicago IL,4014
G17003100067,1930,Illinois,17,Cook,031,"",0067,"",Tract    0067     in Chicago IL,3105
G17003100068,1930,Illinois,17,Cook,031,"",0068,"",Tract    0068     in Chicago IL,4529
G17003100069,1930,Illinois,17,Cook,031,"",0069,"",Tract    0069     in Chicago IL,4527
G17003100070,1930,Illinois,17,Cook,031,"",0070,"",Tract    0070     in Chicago IL,2358
G17003100071,1930,Illinois,17,Cook,031,"",0071,"",Tract    0071     in Chicago IL,2117
G17003100072,1930,Illinois,17,Cook,031,"",0072,"",Tract    0072     in Chicago IL,1750
G17003100073,1930,Illinois,17,Cook,031,"",0073,"",Tract    0073     in Chicago IL,4302
G17003100074,1930,Illinois,17,Cook,031,"",0074,"",Tract    0074     in Chicago IL,4986
G17003100075,1930,Illinois,17,Cook,031,"",0075,"",Tract    0075     in Chicago IL,2170
G17003100076,1930,Illinois,17,Cook,031,"",0076,"",Tract    0076     in Chicago IL,2605
G17003100077,1930,Illinois,17,Cook,031,"",0077,"",Tract    0077     in Chicago IL,2272
G17003100078,1930,Illinois,17,Cook,031,"",0078,"",Tract    0078     in Chicago IL,3388
G17003100079,1930,Illinois,17,Cook,031,"",0079,"",Tract    0079     in Chicago IL,5777
G17003100080,1930,Illinois,17,Cook,031,"",0080,"",Tract    0080     in Chicago IL,5540
G17003100081,1930,Illinois,17,Cook,031,"",0081,"",Tract    0081     in Chicago IL,5856
G17003100082,1930,Illinois,17,Cook,031,"",0082,"",Tract    0082     in Chicago IL,2857
G17003100083,1930,Illinois,17,Cook,031,"",0083,"",Tract    0083     in Chicago IL,3580
G17003100084,1930,Illinois,17,Cook,031,"",0084,"",Tract    0084     in Chicago IL,3710
G17003100085,1930,Illinois,17,Cook,031,"",0085,"",Tract    0085     in Chicago IL,4970
G17003100086,1930,Illinois,17,Cook,031,"",0086,"",Tract    0086     in Chicago IL,4548
G17003100087,1930,Illinois,17,Cook,031,"",0087,"",Tract    0087     in Chicago IL,6264
G17003100088,1930,Illinois,17,Cook,031,"",0088,"",Tract    0088     in Chicago IL,2810
G17003100089,1930,Illinois,17,Cook,031,"",0089,"",Tract    0089     in Chicago IL,877
G17003100090,1930,Illinois,17,Cook,031,"",0090,"",Tract    0090     in Chicago IL,1868
G17003100091,1930,Illinois,17,Cook,031,"",0091,"",Tract    0091     in Chicago IL,1840
G17003100092,1930,Illinois,17,Cook,031,"",0092,"",Tract    0092     in Chicago IL,5426
G17003100093,1930,Illinois,17,Cook,031,"",0093,"",Tract    0093     in Chicago IL,2964
G17003100094,1930,Illinois,17,Cook,031,"",0094,"",Tract    0094     in Chicago IL,2067
G17003100095,1930,Illinois,17,Cook,031,"",0095,"",Tract    0095     in Chicago IL,2696
G17003100096,1930,Illinois,17,Cook,031,"",0096,"",Tract    0096     in Chicago IL,1267
G17003100097,1930,Illinois,17,Cook,031,"",0097,"",Tract    0097     in Chicago IL,2056
G17003100098,1930,Illinois,17,Cook,031,"",0098,"",Tract    0098     in Chicago IL,2830
G17003100099,1930,Illinois,17,Cook,031,"",0099,"",Tract    0099     in Chicago IL,2946
G17003100100,1930,Illinois,17,Cook,031,"",0100,"",Tract    0100     in Chicago IL,3411
G17003100101,1930,Illinois,17,Cook,031,"",0101,"",Tract    0101     in Chicago IL,3560
G17003100102,1930,Illinois,17,Cook,031,"",0102,"",Tract    0102     in Chicago IL,4461
G17003100103,1930,Illinois,17,Cook,031,"",0103,"",Tract    0103     in Chicago IL,2559
G17003100104,1930,Illinois,17,Cook,031,"",0104,"",Tract    0104     in Chicago IL,2582
G17003100105,1930,Illinois,17,Cook,031,"",0105,"",Tract    0105     in Chicago IL,6621
G17003100106,1930,Illinois,17,Cook,031,"",0106,"",Tract    0106     in Chicago IL,5871
G17003100107,1930,Illinois,17,Cook,031,"",0107,"",Tract    0107     in Chicago IL,5553
G17003100108,1930,Illinois,17,Cook,031,"",0108,"",Tract    0108     in Chicago IL,6339
G17003100109,1930,Illinois,17,Cook,031,"",0109,"",Tract    0109     in Chicago IL,4852
G17003100110,1930,Illinois,17,Cook,031,"",0110,"",Tract    0110     in Chicago IL,4823
G17003100111,1930,Illinois,17,Cook,031,"",0111,"",Tract    0111     in Chicago IL,5123
G17003100112,1930,Illinois,17,Cook,031,"",0112,"",Tract    0112     in Chicago IL,6420
G17003100113,1930,Illinois,17,Cook,031,"",0113,"",Tract    0113     in Chicago IL,8058
G17003100114,1930,Illinois,17,Cook,031,"",0114,"",Tract    0114     in Chicago IL,1619
G17003100115,1930,Illinois,17,Cook,031,"",0115,"",Tract    0115     in Chicago IL,6307
G17003100116,1930,Illinois,17,Cook,031,"",0116,"",Tract    0116     in Chicago IL,6491
G17003100117,1930,Illinois,17,Cook,031,"",0117,"",Tract    0117     in Chicago IL,3623
